#,asset,date,volume,close_usd,sector_level1,sector_level2
8747,Facebook Class A ,6/3/2021,12610790,326.04004,Technology,Software & IT Services
8748,Facebook Class A ,6/4/2021,13289383,330.3501,Technology,Software & IT Services
8749,Facebook Class A ,6/7/2021,20136708,336.58008,Technology,Software & IT Services
8750,Facebook Class A ,6/8/2021,14580465,333.67994,Technology,Software & IT Services
8751,Facebook Class A ,6/9/2021,13727946,330.25,Technology,Software & IT Services
8752,Facebook Class A ,6/10/2021,13240231,332.45997,Technology,Software & IT Services
8753,Facebook Class A ,6/11/2021,13587915,331.26001,Technology,Software & IT Services
8754,Facebook Class A ,6/14/2021,12250801,336.77002,Technology,Software & IT Services
8755,Facebook Class A ,6/15/2021,15795227,336.75,Technology,Software & IT Services
8756,Facebook Class A ,6/16/2021,17232157,331.08008,Technology,Software & IT Services
8757,Apple,6/17/2021,17794079,336.51001,Technology,Software & IT Services
8758,Facebook Class A ,6/18/2021,23039458,329.65992,Technology,Software & IT Services
8759,Facebook Class A ,6/21/2021,11337524,332.29004,Technology,Software & IT Services
8760,Facebook Class A ,6/22/2021,15345301,339.03003,Technology,Software & IT Services
8761,Facebook Class A ,6/23/2021,14817825,340.59009,Technology,Software & IT Services
8762,Facebook Class A ,6/24/2021,12329098,343.17994,Technology,Software & IT Services
8763,Facebook Class A ,6/25/2021,14594446,341.37012,Technology,Software & IT Services
8764,Facebook Class A ,6/28/2021,29156133,355.6399,Technology,Software & IT Services
8765,Facebook Class A ,6/29/2021,21417305,351.8899,Technology,Software & IT Services
8766,Facebook Class A ,6/30/2021,15107516,347.70997,Technology,Software & IT Services
8767,Facebook Class A ,7/1/2021,17137020,354.3899,Technology,Software & IT Services
8768,Facebook Class A ,7/2/2021,11524614,354.69996,Technology,Software & IT Services
8769,Facebook Class A ,7/5/2021,0,354.69996,Technology,Software & IT Services
8770,Facebook Class A ,7/6/2021,13488454,352.78003,Technology,Software & IT Services
8771,Facebook Class A ,7/7/2021,14218868,350.49,Technology,Software & IT Services
8772,Facebook Class A ,7/8/2021,14406458,345.64991,Technology,Software & IT Services
8773,Facebook Class A ,7/9/2021,13018696,350.41993,Technology,Software & IT Services
8774,Facebook Class A ,7/12/2021,10018625,353.15992,Technology,Software & IT Services
8775,Facebook Class A ,7/13/2021,11455965,352.09009,Technology,Software & IT Services
8776,Facebook Class A ,7/14/2021,13894223,347.62989,Technology,Software & IT Services
8777,Facebook Class A ,7/15/2021,14781594,344.45997,Technology,Software & IT Services
8778,Facebook Class A ,7/16/2021,11026094,341.15992,Technology,Software & IT Services
8779,Facebook Class A ,7/19/2021,14372344,336.94996,Technology,Software & IT Services
8780,Facebook Class A ,7/20/2021,11024278,341.65992,Technology,Software & IT Services
8781,Facebook Class A ,7/21/2021,9279656,346.22999,Technology,Software & IT Services
8782,Facebook Class A ,7/22/2021,12385442,351.18995,Technology,Software & IT Services
8783,Facebook Class A ,7/23/2021,33694329,369.79004,Technology,Software & IT Services
8784,Facebook Class A ,7/26/2021,14925223,372.45997,Technology,Software & IT Services
8785,Facebook Class A ,7/27/2021,15705446,367.81006,Technology,Software & IT Services
8786,Facebook Class A ,7/28/2021,29676911,373.28003,Technology,Software & IT Services
8787,Facebook Class A ,7/29/2021,33413243,358.32007,Technology,Software & IT Services
8788,Facebook Class A ,7/30/2021,15976180,356.30005,Technology,Software & IT Services
8789,Facebook Class A ,8/2/2021,13180438,351.94996,Technology,Software & IT Services
8790,Facebook Class A ,8/3/2021,12406055,351.24,Technology,Software & IT Services
8791,Facebook Class A ,8/4/2021,14180571,358.91993,Technology,Software & IT Services
8792,Facebook Class A ,8/5/2021,10247208,362.96998,Technology,Software & IT Services
8793,Facebook Class A ,8/6/2021,8925016,363.51001,Technology,Software & IT Services
8794,Facebook Class A ,8/9/2021,7798871,361.61011,Technology,Software & IT Services
8795,Facebook Class A ,8/10/2021,7469879,361.12989,Technology,Software & IT Services
8796,Facebook Class A ,8/11/2021,8400332,359.95997,Technology,Software & IT Services
8797,Facebook Class A ,8/12/2021,7175207,362.64991,Technology,Software & IT Services
8798,Facebook Class A ,8/13/2021,7195723,363.17994,Technology,Software & IT Services
8799,Facebook Class A ,8/16/2021,11232270,366.56006,Technology,Software & IT Services
8800,Facebook Class A ,8/17/2021,12328739,358.44996,Technology,Software & IT Services
8801,Facebook Class A ,8/18/2021,10042383,355.44996,Technology,Software & IT Services
8802,Facebook Class A ,8/19/2021,12004536,355.12012,Technology,Software & IT Services
8803,Facebook Class A ,8/20/2021,8697668,359.37012,Technology,Software & IT Services
8804,Facebook Class A ,8/23/2021,10942008,363.3501,Technology,Software & IT Services
8805,Facebook Class A ,8/24/2021,9235149,365.51001,Technology,Software & IT Services
8806,Facebook Class A ,8/25/2021,9684520,368.3899,Technology,Software & IT Services
8807,Facebook Class A ,8/26/2021,7888684,364.37989,Technology,Software & IT Services
8808,Facebook Class A ,8/27/2021,11219141,372.62989,Technology,Software & IT Services
8809,Facebook Class A ,8/30/2021,13547262,380.65992,Technology,Software & IT Services
8810,Facebook Class A ,8/31/2021,12345352,379.37989,Technology,Software & IT Services
8811,Facebook Class A ,9/1/2021,11567165,382.05005,Technology,Software & IT Services
8812,Facebook Class A ,9/2/2021,14838274,375.28003,Technology,Software & IT Services
8813,Facebook Class A ,9/3/2021,7511356,376.26001,Technology,Software & IT Services
8814,Facebook Class A ,9/6/2021,0,376.26001,Technology,Software & IT Services
8815,Facebook Class A ,9/7/2021,10798922,382.17994,Technology,Software & IT Services
8816,Facebook Class A ,9/8/2021,11067165,377.57007,Technology,Software & IT Services
8817,Facebook Class A ,9/9/2021,9098942,378,Technology,Software & IT Services
8818,Facebook Class A ,9/10/2021,11549594,378.68995,Technology,Software & IT Services
8819,Facebook Class A ,9/13/2021,13026274,376.51001,Technology,Software & IT Services
8820,Facebook Class A ,9/14/2021,8711570,376.53003,Technology,Software & IT Services
8821,Facebook Class A ,9/15/2021,17940297,373.91993,Technology,Software & IT Services
8822,Facebook Class A ,9/16/2021,11934219,373.06006,Technology,Software & IT Services
8823,Facebook Class A ,9/17/2021,26298965,364.71998,Technology,Software & IT Services
8824,Facebook Class A ,9/20/2021,19822774,355.69996,Technology,Software & IT Services
8825,Facebook Class A ,9/21/2021,11751918,357.47999,Technology,Software & IT Services
8826,Facebook Class A ,9/22/2021,43692860,343.20997,Technology,Software & IT Services
8827,Facebook Class A ,9/23/2021,21806266,345.95997,Technology,Software & IT Services
8828,Facebook Class A ,9/24/2021,18801934,352.95997,Technology,Software & IT Services
8829,Facebook Class A ,9/27/2021,15205844,353.58008,Technology,Software & IT Services
8830,Facebook Class A ,9/28/2021,21710286,340.64991,Technology,Software & IT Services
8831,Facebook Class A ,9/29/2021,14452243,339.61011,Technology,Software & IT Services
8832,Facebook Class A ,9/30/2021,16547094,339.3899,Technology,Software & IT Services
8833,Facebook Class A ,10/1/2021,14905313,343.01001,Technology,Software & IT Services
8834,Facebook Class A ,10/4/2021,42884977,326.22999,Technology,Software & IT Services
8835,Facebook Class A ,10/5/2021,35377946,332.95997,Technology,Software & IT Services
8836,Facebook Class A ,10/6/2021,26443012,333.6399,Technology,Software & IT Services
8837,Facebook Class A ,10/7/2021,28307458,329.21998,Technology,Software & IT Services
8838,Facebook Class A ,10/8/2021,15946110,330.05005,Technology,Software & IT Services
